Position,Age,Team_from,League_from,Team_to,League_to,Season_transferred,Transfer_fee_in_mln,Market_value_in_mln,Lastname,club,overall,potential,Season,Name,Nationality,nationality_match_source,log_transfer_fee,fee_minus_value,market_value_per_potential,Nationality_bucket,league_median_fee_to,team_to_median_fee,age_bucket,position_bucket,league_country_to,nationality_matches_league_to,high_overall,is_top_club_to,is_top_league
Attacking Midfield,24,VfL Wolfsburg,1.Bundesliga,Man City,Premier League,2015,76.0,45.0,Bruyne,VfL Wolfsburg,81.0,86.0,2015.0,Kevin De Bruyne,Belgium,fallback_team_from,4.343805421853684,31.0,0.5232558139534884,Top 1-15,15.1,50.0,20-23,Midfielder,England,False,True,True,True
Right Winger,20,Liverpool,Premier League,Man City,Premier League,2015,63.7,40.0,Sterling,Liverpool,80.0,86.0,2015.0,Raheem Sterling,England,fallback_team_from,4.169761201506855,23.700000000000003,0.46511627906976744,Top 1-15,15.1,50.0,<20,Winger,England,True,True,True,True
Right Winger,27,Man Utd,Premier League,Paris SG,Ligue 1,2015,63.0,50.0,Maria,Man Utd,86.0,88.0,2015.0,Ángel Di María,Argentina,fallback_lastname_season,4.1588830833596715,13.0,0.5681818181818182,Top 1-15,10.0,25.0,24-26,Winger,France,False,True,True,True
Left Winger,19,Monaco,Ligue 1,Man Utd,Premier League,2015,60.0,8.0,Martial,Monaco,69.0,81.0,2015.0,Anthony Martial,France,fallback_lastname_season,4.110873864173311,52.0,0.09876543209876543,Top 1-15,15.1,40.0,<20,Winger,England,False,False,True,True
Attacking Midfield,26,Shakhtar D.,Premier Liga,JS Suning,Super League,2015,50.0,30.0,Teixeira,Shakhtar D.,79.0,82.0,2015.0,Alex Teixeira,Brazil,fallback_lastname_season,3.9318256327243257,20.0,0.36585365853658536,Top 1-15,13.5,28.0,24-26,Midfielder,China,False,True,False,True
Forward,24,Aston Villa,Premier League,Liverpool,Premier League,2015,46.5,20.0,Benteke,Aston Villa,80.0,85.0,2015.0,Christian Benteke,Belgium,fallback_team_from,3.8607297110405954,26.5,0.23529411764705882,Top 1-15,15.1,41.0,20-23,Forward,England,False,True,True,True
Centre-Back,27,Valencia CF,LaLiga,Man City,Premier League,2015,44.6,25.0,Otamendi,Valencia CF,80.0,84.0,2015.0,Nicolás Otamendi,Argentina,fallback_team_from,3.8199077165203406,19.6,0.2976190476190476,Top 1-15,15.1,50.0,24-26,Defender,England,False,True,True,True
Central Midfield,21,FC Schalke 04,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2015,43.0,22.0,Draxler,FC Schalke 04,80.0,85.0,2015.0,Julian Draxler,Germany,fallback_team_from,3.784189633918261,21.0,0.25882352941176473,Top 1-15,12.0,11.75,20-23,Midfielder,Germany,True,True,True,True
Forward,23,TSG Hoffenheim,1.Bundesliga,Liverpool,Premier League,2015,41.0,25.0,Firmino,TSG Hoffenheim,81.0,85.0,2015.0,Roberto Firmino,Brazil,fallback_lastname_season,3.7376696182833684,16.0,0.29411764705882354,Top 1-15,15.1,41.0,20-23,Forward,England,False,True,True,True
Forward,21,US Palermo,Serie A,Juventus,Serie A,2015,40.0,28.0,Dybala,US Palermo,70.0,83.0,2015.0,Paulo Dybala,Argentina,fallback_lastname_season,3.713572066704308,12.0,0.3373493975903614,Top 1-15,11.0,19.0,20-23,Forward,Italy,False,False,True,True
