Name,Nationality,nationality_match_source,Nationality_bucket,Transfer_fee_in_mln,log_transfer_fee,fee_minus_value,Market_value_in_mln,potential,market_value_per_potential,position_bucket,league_country_to,nationality_matches_league_to,League_to,age_bucket,is_top_club_to,is_top_league,high_overall
Kevin De Bruyne,Belgium,fallback_team_from,Top 1-15,76.0,4.343805421853684,31.0,45.0,86.0,0.5232558139534884,Midfielder,England,False,Premier League,20-23,True,True,True
Raheem Sterling,England,fallback_team_from,Top 1-15,63.7,4.169761201506855,23.700000000000003,40.0,86.0,0.46511627906976744,Winger,England,True,Premier League,<20,True,True,True
Ángel Di María,Argentina,fallback_lastname_season,Top 1-15,63.0,4.1588830833596715,13.0,50.0,88.0,0.5681818181818182,Winger,France,False,Ligue 1,24-26,True,True,True
Anthony Martial,France,fallback_lastname_season,Top 1-15,60.0,4.110873864173311,52.0,8.0,81.0,0.09876543209876543,Winger,England,False,Premier League,<20,True,True,False
Alex Teixeira,Brazil,fallback_lastname_season,Top 1-15,50.0,3.9318256327243257,20.0,30.0,82.0,0.36585365853658536,Midfielder,China,False,Super League,24-26,False,True,True
Christian Benteke,Belgium,fallback_team_from,Top 1-15,46.5,3.8607297110405954,26.5,20.0,85.0,0.23529411764705882,Forward,England,False,Premier League,20-23,True,True,True
Nicolás Otamendi,Argentina,fallback_team_from,Top 1-15,44.6,3.8199077165203406,19.6,25.0,84.0,0.2976190476190476,Defender,England,False,Premier League,24-26,True,True,True
Julian Draxler,Germany,fallback_team_from,Top 1-15,43.0,3.784189633918261,21.0,22.0,85.0,0.25882352941176473,Midfielder,Germany,True,1.Bundesliga,20-23,True,True,True
Roberto Firmino,Brazil,fallback_lastname_season,Top 1-15,41.0,3.7376696182833684,16.0,25.0,85.0,0.29411764705882354,Forward,England,False,Premier League,20-23,True,True,True
Paulo Dybala,Argentina,fallback_lastname_season,Top 1-15,40.0,3.713572066704308,12.0,28.0,83.0,0.3373493975903614,Forward,Italy,False,Serie A,20-23,True,True,False
Arturo Vidal,Chile,fallback_team_from,Top 16-30,37.5,3.6506582412937387,-4.5,42.0,87.0,0.4827586206896552,Midfielder,Germany,False,1.Bundesliga,27-29,False,True,True
